'D.Baldwin' 'SEA' 'WR' 27L 426L 10L 0L 0L 0L 116.1
'B.Marshall' 'NYJ' 'WR' 36L 508L 5L 0L 0L 0L 98.8
'O.Beckham Jr.' 'NYG' 'WR' 28L 533L 5L 0L 0L 0L 97.3
'S.Watkins' 'BUF' 'WR' 22L 498L 6L 1L 0L 0L 96.9
'A.Brown' 'PIT' 'WR' 37L 445L 4L 0L 0L 0L 87.0
'A.Robinson' 'JAC' 'WR' 24L 383L 6L 0L 0L 0L 86.3
'T.Ginn' 'CAR' 'WR' 18L 322L 7L 17L 0L 0L 84.9
'G.Tate' 'DET' 'WR' 38L 291L 5L 16L 0L 0L 79.7
'J.Maclin' 'KC' 'WR' 34L 402L 4L -2L 0L 1L 79.0
'A.Green' 'CIN' 'WR' 22L 437L 4L 0L 0L 0L 78.7
'T.Lockett' 'SEA' 'WR' 25L 335L 5L 12L 0L 0L 77.2
'J.Jones' 'ATL' 'WR' 38L 515L 1L 0L 0L 0L 76.5
'J.Jones' 'ATL' 'WR' 38L 515L 1L 0L 0L 0L 76.5
'D.Jackson' 'WAS' 'WR' 21L 429L 4L 0L 0L 1L 75.4
'K.Aiken' 'BAL' 'WR' 30L 396L 3L 0L 0L 0L 72.6
'E.Decker' 'NYJ' 'WR' 30L 373L 3L 0L 0L 0L 70.3
'D.Hopkins' 'HOU' 'WR' 26L 388L 3L 0L 0L 0L 69.8
'M.Wheaton' 'PIT' 'WR' 22L 378L 3L 0L 0L 0L 66.8
'Jo.Brown' 'ARI' 'WR' 21L 371L 3L 9L 0L 0L 66.5
'D.Thomas' 'DEN' 'WR' 25L 312L 4L 0L 0L 1L 65.7
'J.Landry' 'MIA' 'WR' 38L 389L 1L 4L 0L 0L 64.3
'M.Evans' 'TB' 'WR' 26L 384L 2L 0L 0L 0L 63.4
'C.Johnson' 'DET' 'WR' 18L 260L 4L 0L 0L 0L 59.0
'M.Bryant' 'PIT' 'WR' 26L 319L 1L 12L 1L 0L 58.1
'J.Matthews' 'PHI' 'WR' 21L 287L 3L 0L 0L 0L 57.2
'B.Cooks' 'NO' 'WR' 24L 292L 2L 0L 0L 0L 53.2
'T.Hilton' 'IND' 'WR' 18L 313L 2L 0L 0L 0L 52.3
'T.Austin' 'STL' 'WR' 14L 122L 1L 165L 2L 1L 51.7
'A.Cooper' 'OAK' 'WR' 18L 308L 2L -7L 0L 0L 51.1
'E.Sanders' 'DEN' 'WR' 21L 330L 1L 29L 0L 1L 50.4
'A.Jeffery' 'CHI' 'WR' 18L 292L 2L 0L 0L 0L 50.2
'A.Boldin' 'SF' 'WR' 28L 319L 1L 0L 0L 1L 49.9
'D.Green-Beckham' 'TEN' 'WR' 18L 347L 1L 0L 0L 0L 49.7
'J.Kearse' 'SEA' 'WR' 21L 265L 2L 0L 0L 0L 49.0
'M.Jones' 'CIN' 'WR' 22L 290L 1L 30L 0L 0L 49.0
'S.Roberts' 'OAK' 'WR' 14L 238L 3L 0L 0L 0L 48.8
'L.Fitzgerald' 'ARI' 'WR' 34L 295L 0L 0L 0L 0L 46.5
'J.Jones' 'GB' 'WR' 17L 259L 2L 0L 0L 0L 46.4
'D.Moncrief' 'IND' 'WR' 22L 291L 1L 0L 0L 0L 46.1
'R.Cobb' 'GB' 'WR' 25L 248L 1L 26L 0L 0L 45.9
'M.Crabtree' 'OAK' 'WR' 25L 203L 2L 0L 0L 0L 44.8
'M.Floyd' 'ARI' 'WR' 18L 290L 1L 0L 0L 0L 44.0
'D.Parker' 'MIA' 'WR' 13L 246L 2L 0L 0L 0L 43.1
'R.Randle' 'NYG' 'WR' 12L 163L 3L 0L 0L 0L 40.3
'D.Funchess' 'CAR' 'WR' 12L 151L 3L 0L 0L 0L 39.1
'J.Nelson' 'ARI' 'WR' 8L 229L 2L 0L 0L 0L 38.9
'R.Woods' 'BUF' 'WR' 18L 238L 1L 0L 0L 0L 38.8
'S.Diggs' 'MIN' 'WR' 17L 186L 2L -6L 0L 0L 38.5
'B.Hartline' 'CLE' 'WR' 24L 264L 0L 0L 0L 0L 38.4
'D.Amendola' 'NE' 'WR' 23L 228L 1L 0L 0L 1L 38.3
'D.Bryant' 'DAL' 'WR' 14L 192L 2L 0L 0L 0L 38.2
'A.Wilson' 'KC' 'WR' 16L 212L 1L 21L 0L 0L 37.3
'P.Garcon' 'WAS' 'WR' 19L 218L 1L 0L 0L 0L 37.3
'M.Colston' 'NO' 'WR' 12L 127L 3L 0L 0L 0L 36.7
'T.Williams' 'DAL' 'WR' 15L 232L 1L 0L 0L 0L 36.7
'K.Britt' 'STL' 'WR' 14L 234L 1L 0L 0L 0L 36.4
'J.Cotchery' 'CAR' 'WR' 18L 213L 1L 0L 0L 0L 36.3
